"tag_id","animal_id","animal_taxon","deploy_on_date","deploy_off_date","hunt","prey_p_month","animal_reproductive_condition","animal_sex","hrs_indoors","n_cats","food_dry","food_wet","food_other","study_site","age_years"
"Jago2-Tag","Jago2","Felis catus",2017-08-25 01:05:18,2017-09-01 18:46:54,FALSE,0,"Neutered","m",12.5,1,TRUE,TRUE,NA,"UK",2
"Frank-Tag","Frank","Felis catus",2017-08-25 01:05:44,2017-09-01 00:08:15,TRUE,3,"Neutered","m",7.5,1,TRUE,TRUE,TRUE,"UK",4
"Skye-Tag","Skye","Felis catus",2017-08-25 01:22:22,2017-09-01 08:15:26,TRUE,0.5,"Neutered","m",12.5,4,TRUE,TRUE,FALSE,"UK",5
"Jezebel-Tag","Jezebel","Felis catus",2017-08-25 01:50:01,2017-09-01 07:58:22,NA,0,"Spayed","f",17.5,4,TRUE,TRUE,TRUE,"UK",14
"Boots-Tag","Boots","Felis catus",2017-08-25 02:00:08,2017-08-31 04:48:28,FALSE,0,"Spayed","f",22.5,4,TRUE,TRUE,TRUE,"UK",16
"Smudge_2-Tag","Smudge_2","Felis catus",2017-08-25 06:15:27,2017-09-01 06:45:20,TRUE,0.5,"Neutered","m",17.5,3,TRUE,FALSE,FALSE,"UK",7
"Frank_2-Tag","Frank_2","Felis catus",2017-08-26 01:03:01,2017-09-02 08:21:37,FALSE,0,"Neutered","m",7.5,4,TRUE,TRUE,FALSE,"UK",7
"Freya-Tag","Freya","Felis catus",2017-08-27 01:45:09,2017-09-03 02:08:49,TRUE,0.5,"Spayed","f",12.5,3,TRUE,TRUE,FALSE,"UK",4
"Spot-Tag","Spot","Felis catus",2017-08-27 02:19:45,2017-09-02 06:37:17,TRUE,17.5,"Neutered","m",7.5,4,TRUE,TRUE,TRUE,"UK",2
"Tipsy-Tag","Tipsy","Felis catus",2017-08-28 15:39:12,2017-09-04 09:49:38,NA,0,"Spayed","f",17.5,1,TRUE,FALSE,FALSE,"UK",0
"Flash-Tag","Flash","Felis catus",2017-08-28 23:51:55,2017-09-04 10:28:59,TRUE,3,"Spayed","f",17.5,2,TRUE,TRUE,TRUE,"UK",3
"Gracie-Tag","Gracie","Felis catus",2017-09-07 05:02:00,2017-09-12 15:32:00,FALSE,0,"Spayed","f",22.5,1,TRUE,FALSE,FALSE,"UK",2
"Teddy-Tag","Teddy","Felis catus",2017-09-10 01:46:42,2017-09-13 07:46:11,TRUE,0.5,"Spayed","f",12.5,3,TRUE,TRUE,FALSE,"UK",9
"Marley-Tag","Marley","Felis catus",2017-09-10 11:02:26,2017-09-15 19:54:44,TRUE,0.5,"Neutered","m",7.5,1,TRUE,TRUE,FALSE,"UK",1
"Guinness-Tag","Guinness","Felis catus",2017-09-13 18:02:02,2017-09-18 00:05:25,TRUE,3,"Neutered","m",17.5,1,TRUE,TRUE,TRUE,"UK",7
